METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
ESQ,666.8197031,,Detailed_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,670.8394781,,Detailed_response,4,Experience Sampling Questions,1,8707290,,Marker Started at 7,Memory Task
ESQ,670.8406375,,Future_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,674.2062219,,Future_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 7,Memory Task
ESQ,674.2073905,,Past_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,677.2563209,,Past_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 5,Memory Task
ESQ,677.2574542,,Self_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,680.7722938,,Self_response,5.9,Experience Sampling Questions,1,8707290,,Marker Started at 2,Memory Task
ESQ,680.7734046,,Emotion_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,682.9881287,,Emotion_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 10,Memory Task
ESQ,682.9892006,,Absorption_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,686.7052769,,Absorption_response,6.1,Experience Sampling Questions,1,8707290,,Marker Started at 3,Memory Task
ESQ,686.7063802,,Knowledge_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,690.5227465,,Knowledge_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 5,Memory Task
ESQ,690.523896,,Modality_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,694.3714759,,Modality_response,3.3,Experience Sampling Questions,1,8707290,,Marker Started at 4,Memory Task
ESQ,694.3725775,,Other_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,698.3381699,,Other_response,6.1,Experience Sampling Questions,1,8707290,,Marker Started at 8,Memory Task
ESQ,698.3392592,,Deliberate_start,,Experience Sampling Questions,1,8707290,,,Memory Task
ESQ,701.9721214,,Deliberate_response,7,Experience Sampling Questions,1,8707290,,Marker Started at 4,Memory Task
ESQ,701.9732248,,Problem_start,,Experience Sampling Questions,1,8707290,,,Memory Task
